filename,true_label,ensemble_pred_label,resnet_f0_prob,resnet_f1_prob,resnet_f2_prob,resnet_f3_prob,resnet_f4_prob,deit_f0_prob,deit_f1_prob,deit_f2_prob,deit_f3_prob,deit_f4_prob,convnext_F0_prob,convnext_F1_prob,convnext_F2_prob,convnext_F3_prob,convnext_F4_prob,mednext_F0_prob,mednext_F1_prob,mednext_F2_prob,mednext_F3_prob,mednext_F4_prob,ensemble_probs,ensemble_f0_prob,ensemble_f1_prob,ensemble_f2_prob,ensemble_f3_prob,ensemble_f4_prob
a1002.jpg,F0,F0,0.8401544,0.04379437,0.0417866,0.042981405,0.031283155,0.91194767,0.021167597,0.023618164,0.021381622,0.02188498,0.9187012,0.019776333,0.020149127,0.022454763,0.018918501,0.9158903956413268,0.0208321418613195,0.0210950635373592,0.020111471414566,0.0220709946006536,[0.88003956 0.03122394 0.03169302 0.03098153 0.02606195],0.88003956124495,0.031223940954528132,0.031693024849410875,0.030981525951430614,0.026061946999680435
a1045.jpg,F0,F0,0.8401544,0.04379437,0.0417866,0.042981405,0.031283155,0.91194767,0.021167597,0.023618164,0.021381622,0.02188498,0.9187012,0.019776333,0.020149127,0.022454763,0.018918501,0.9158903956413268,0.0208321418613195,0.0210950635373592,0.020111471414566,0.0220709946006536,[0.88003956 0.03122394 0.03169302 0.03098153 0.02606195],0.88003956124495,0.031223940954528132,0.031693024849410875,0.030981525951430614,0.026061946999680435
a108.jpg,F0,F0,0.2735633,0.1844014,0.07443304,0.07272681,0.39487547,0.88289493,0.03807361,0.021155827,0.022257466,0.035618123,0.91965,0.020464707,0.019717392,0.021572225,0.018595614,0.9152361750602722,0.0208252258598804,0.020976223051548,0.0206627417355775,0.0222996678203344,[0.61208088 0.10310818 0.04483459 0.04468829 0.19528806],0.6120808817434804,0.10310818493723845,0.044834589030760284,0.04468828625070668,0.19528805803781427
a109.jpg,F0,F0,0.5907526,0.06985277,0.050730485,0.03821499,0.25044918,0.9136367,0.024377262,0.018904144,0.022904469,0.020177377,0.9204074,0.01941393,0.018731322,0.019747948,0.02169933,0.9169178605079652,0.020595945417881,0.0207649543881416,0.0203571207821369,0.0213642828166484,[0.77013267 0.0445886  0.03304918 0.02970915 0.1225204 ],0.770132667535397,0.04458859958248932,0.03304918495854287,0.02970914546214226,0.12252040246142847
a1117.jpg,F0,F0,0.6899,0.1793079,0.02884387,0.029229702,0.0727186,0.9186071,0.02239089,0.018817475,0.020398827,0.019785792,0.9206085,0.018887568,0.019816887,0.021230979,0.019456008,0.9163153767585754,0.0206941086798906,0.0204943940043449,0.0203706473112106,0.0221254862844944,[0.81695944 0.09213178 0.02327365 0.02432366 0.04331148],0.8169594357325244,0.09213177608563361,0.02327364872469519,0.024323658419872208,0.0433114810372746
a1129.jpg,F0,F0,0.4754764,0.2980966,0.055933867,0.048208985,0.12228409,0.91147083,0.022914106,0.02083635,0.024534425,0.020244176,0.9231471,0.019251427,0.01991415,0.019386584,0.018300772,0.9190458059310912,0.0197509452700614,0.0201113615185022,0.0201268456876277,0.0209650956094265,[0.71769559 0.14521745 0.03643525 0.03505645 0.06559525],0.7176955913337095,0.14521744952647858,0.03643524967098822,0.035056454771110496,0.06559525469771312
a1160.jpg,F0,F0,0.36943752,0.34558737,0.066327885,0.038109403,0.18053778,0.66936743,0.03200602,0.03276689,0.027906535,0.23795308,0.8901077,0.01778733,0.023452632,0.019032175,0.04962014,0.9150452613830566,0.0202941298484802,0.0214060731232166,0.0208779331296682,0.0223764982074499,[0.53606527 0.17137552 0.04768289 0.03244114 0.21243518],0.5360652711859614,0.17137551637228646,0.04768288985993063,0.032441144416596644,0.21243517816522503
a1167.jpg,F0,F0,0.8821498,0.04147531,0.019298082,0.02230858,0.034768097,0.92468745,0.016054021,0.02024658,0.018514453,0.020497477,0.9155647,0.024212677,0.02036841,0.021420917,0.018433316,0.9140875339508056,0.0215023625642061,0.0206640772521495,0.0214196871966123,0.0223262459039688,[0.90578189 0.02735237 0.01982503 0.02020073 0.02683998],0.9057818900754434,0.027352373547902143,0.019825026696854615,0.0202007330560282,0.026839976623771727
a1171.jpg,F0,F0,0.5815444,0.18730955,0.068356104,0.053234562,0.10955542,0.8931987,0.020927854,0.020559352,0.021541988,0.043772124,0.91757464,0.020570306,0.019931378,0.022533726,0.019389829,0.9164687395095824,0.0208876002579927,0.0208093672990798,0.020434970036149,0.021399350836873,[0.75468566 0.09487527 0.04180235 0.03562758 0.07300914],0.7546856581559507,0.09487527197768737,0.04180235180202775,0.03562757551812748,0.07300914254620675
a123.jpg,F0,F0,0.6190893,0.20300443,0.037447777,0.056826677,0.08363179,0.9155401,0.022069719,0.021427272,0.01974962,0.021213233,0.9194837,0.020086657,0.019879242,0.021378769,0.0191716,0.9143434166908264,0.0211208052933216,0.0208724457770586,0.0209297370165586,0.022733611986041,[0.78378422 0.10248515 0.0285475  0.03622831 0.04895482],0.783784222330349,0.10248515048381085,0.028547497662471003,0.036228313545741374,0.04895481597762769
a1265.jpg,F0,F0,0.84018064,0.056192223,0.031856373,0.037499744,0.034270998,0.89938146,0.028468136,0.024387583,0.023028165,0.024734722,0.9231879,0.018563442,0.018300379,0.020186177,0.019761983,0.914853572845459,0.0208692941814661,0.0212255492806434,0.0204574931412935,0.0225941427052021,[0.87306996 0.04078995 0.02770704 0.02945998 0.02897307],0.8730699609685632,0.04078995134764798,0.027707044477210584,0.029459977096742838,0.02897306610983533
a141.jpg,F0,F0,0.5262784,0.1722173,0.03925003,0.044722833,0.21753146,0.9070125,0.026274897,0.020907285,0.020735994,0.025069242,0.9177106,0.020624552,0.019714518,0.021435916,0.020514527,0.915432333946228,0.0214344523847103,0.0206772107630968,0.0204118713736534,0.0220440831035375,[0.73779737 0.09113819 0.02905962 0.03139681 0.11060801],0.7377973705132849,0.09113819044243827,0.029059617137884245,0.03139681244268737,0.11060800946370522
a1421.jpg,F0,F0,0.84054536,0.05172179,0.027720703,0.046592157,0.03342011,0.82384205,0.06607187,0.030577801,0.026459742,0.053048532,0.9085644,0.022023559,0.023056,0.024710558,0.021645542,0.9164425134658812,0.020010195672512,0.0211055353283882,0.0202138815075159,0.0222279224544763,[0.8312657  0.05969405 0.02930798 0.03540748 0.04432479],0.8312657013082339,0.0596940536488006,0.029307978184985543,0.03540748020995516,0.04432478664802467
a143.jpg,F0,F0,0.5234598,0.21130636,0.040029753,0.04516197,0.18004216,0.882726,0.04519131,0.021691322,0.020205338,0.030186027,0.91842294,0.020566745,0.019742616,0.021528779,0.01973899,0.9149274230003356,0.0214121416211128,0.0208906028419733,0.0204856880009174,0.0222840644419193,[0.72305212 0.11902022 0.02984174 0.03129717 0.09678875],0.7230521207200908,0.1190202190348695,0.029841735257205286,0.03129717389848263,0.0967887510893518
a1468.jpg,F0,F0,0.7979539,0.07627353,0.031766485,0.035201218,0.058804806,0.49937892,0.042891115,0.022851473,0.027619237,0.4072592,0.9151569,0.022742579,0.020219838,0.021366326,0.020514363,0.917934000492096,0.0208604596555233,0.0200838427990674,0.0201139003038406,0.0210078116506338,[0.63207895 0.05772775 0.0268137  0.03098901 0.25239059],0.632078947560997,0.057727747217855646,0.026813702101812376,0.030989008120366132,0.25239059499896876
a149.jpg,F0,F0,0.80186045,0.07794916,0.03211799,0.049429502,0.03864291,0.89977545,0.028551284,0.023721188,0.023584796,0.024367237,0.92189455,0.018755823,0.018306786,0.020458562,0.020584274,0.9149145483970642,0.0207423884421587,0.0212267618626356,0.0205201786011457,0.0225961804389953,[0.85625769 0.0505059  0.0274531  0.03507133 0.03071198],0.8562576890619567,0.050505896548838185,0.027453100539910975,0.03507133268973621,0.03071198115955785
a1511.jpg,F0,F0,0.8703238,0.01824072,0.03466319,0.026010482,0.050761763,0.9076716,0.02292529,0.025045002,0.022465596,0.02189257,0.91472846,0.020048883,0.020767039,0.023561949,0.020893686,0.915858268737793,0.0209140256047248,0.0205497555434703,0.0206770058721303,0.0220010038465261,[0.89107257 0.02084326 0.02931975 0.0240411  0.03472332],0.8910725668868908,0.020843258634137943,0.029319751863869696,0.024041100595053214,0.03472332202004828
a1526.jpg,F0,F0,0.8749188,0.019813608,0.042630736,0.026961029,0.03567584,0.9134734,0.021369323,0.02112194,0.019329399,0.024706002,0.9191057,0.019196374,0.022026122,0.020341052,0.019330755,0.9173725843429564,0.0207782331854105,0.0204501934349536,0.0199977122247219,0.0214012674987316,[0.89633799 0.02067789 0.0306814  0.02272123 0.02958148],0.8963379851735855,0.020677893256424853,0.030681403620724204,0.02272123361641123,0.029581484332854204
a1541.jpg,F0,F0,0.8806991,0.025524065,0.033573747,0.024455769,0.035747264,0.8078859,0.028545996,0.02874112,0.028503165,0.10632379,0.91551393,0.022133864,0.018886302,0.02178828,0.021677583,0.918531894683838,0.0205708853900432,0.0203122645616531,0.0198889505118131,0.0206959992647171,[0.84024736 0.02720292 0.03088896 0.02670432 0.07495645],0.8402473562989204,0.02720291665878495,0.030888955474940968,0.026704323416342,0.0749564481510115
